epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.347428,0.50873,0.937033,0.796296,0.001,17.6205
2,0.607753,0.838095,0.43592,0.914815,0.001,18.1641
3,0.42485,0.886508,0.308722,0.925926,0.001,18.6208
4,0.325995,0.916667,0.264366,0.940741,0.001,18.843
5,0.26032,0.936508,0.237219,0.948148,0.001,18.7117
6,0.300285,0.907143,0.222447,0.951852,0.001,18.0727
7,0.245174,0.919048,0.187214,0.948148,0.001,20.4577
8,0.245999,0.925397,0.190668,0.940741,0.001,159.3794
9,0.229309,0.927778,0.185601,0.940741,0.001,19.1023
10,0.226689,0.930159,0.150627,0.966667,0.001,18.7541
